#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
42360  26.696  -90.508 2014 06 17 01 00  MM    MM    MM   MM  MM   MM  MM 1018.0    MM  28.1    MM    MM   MM     MM
42363  28.170  -89.223 2014 06 17 01 30 120   7.0    MM   MM  MM   MM  MM 1019.3    MM  26.7    MM  21.7   MM     MM
42364  29.065  -88.092 2014 06 17 01 30 130   4.0    MM   MM  MM   MM  MM 1019.6  +0.3  26.7    MM  23.3   MM     MM
42365  28.154  -89.104 2014 06 17 01 30 140   4.0    MM   MM  MM   MM  MM     MM    MM  26.8    MM  23.2   MM     MM
42375  28.521  -88.289 2014 06 17 01 00 110   6.0    MM  0.9   5   MM  MM     MM    MM    MM    MM    MM   MM     MM
42390  26.129  -94.898 2014 06 17 01 30  MM    MM    MM   MM  MM   MM  MM 1015.9  +0.3  27.8    MM  25.0   MM     MM
42392  27.196  -90.027 2014 06 17 01 00  MM    MM    MM  0.8   4   MM  MM     MM    MM    MM    MM    MM   MM     MM
42887  28.191  -88.496 2014 06 17 01 00  MM    MM    MM  0.9   5   MM  MM     MM    MM    MM    MM    MM   MM     MM
44005  43.204  -69.128 2014 06 17 01 50 220   6.0   6.0  0.4   8  4.2  MM 1018.0  +0.9  14.9  12.6  10.7   MM     MM
44007  43.531  -70.144 2014 06 17 01 50 220   4.0   5.0  0.4  10  3.7 107 1018.1  +1.4  15.1  14.8  11.9   MM     MM
44009  38.461  -74.703 2014 06 17 01 50  MM    MM    MM  0.4   9  5.0  57 1019.6  +0.4  21.6  21.5  21.6   MM     MM
44013  42.346  -70.651 2014 06 17 01 50 190   5.0   5.0  0.4   9  3.6  86 1018.6  +1.3  17.5  16.1  15.0   MM     MM
44014  36.611  -74.842 2014 06 17 01 50 150   2.0   3.0  0.5   8  6.5  96 1019.7  +0.4  23.5  23.0  23.5   MM     MM
44017  40.694  -72.048 2014 06 17 01 50  MM    MM    MM  0.4   7  6.2  MM 1019.1  +0.5  16.6  16.2    MM   MM     MM
44020  41.443  -70.186 2014 06 17 01 50 210   7.0   8.0  0.3   2  2.5 236 1019.4  +0.7  16.7  15.7  13.6   MM     MM
44022  40.883  -73.728 2014 06 17 02 00 210   4.0   6.0   MM  MM   MM  MM     MM    MM  20.5  19.2  15.0   MM     MM
44024  42.331  -65.907 2014 06 17 01 04 310   4.0   5.0  1.1   5   MM  MM 1016.9    MM  10.6   9.7    MM  1.6     MM
44027  44.287  -67.307 2014 06 17 01 50  MM    MM    MM  0.3   6  4.4  MM 1017.2  +0.9  11.2    MM    MM   MM     MM
44029  42.522  -70.566 2014 06 17 01 04 180   6.0   7.0  0.4   3   MM  MM 1016.6    MM  17.4  15.6    MM  1.6     MM
44030  43.181  -70.428 2014 06 17 01 04 170   2.0   2.0  0.4   8   MM  MM 1016.8    MM  14.6  13.7    MM  1.6     MM
44032  43.715  -69.358 2014 06 17 01 04 240   2.0   3.0  0.3   3   MM  MM 1017.1    MM  13.8  11.0    MM  1.6     MM
44033  44.056  -68.997 2014 06 17 01 04 220   4.0   5.0  0.2  MM   MM  MM 1016.6    MM  13.8  12.6    MM  1.6     MM
44034  44.106  -68.109 2014 06 17 01 04 250   4.0   5.0  0.3   3   MM  MM 1016.6    MM  11.0   7.9    MM  1.6     MM
44037  43.491  -67.880 2014 06 17 01 04 260   4.0   4.0  0.4   4   MM  MM 1016.9    MM  12.9  11.7    MM  1.6     MM
44039  41.138  -72.655 2014 06 17 01 45 210   3.0   4.0  0.2  MM   MM  MM     MM    MM  18.4  17.2  14.5   MM     MM
44040  40.956  -73.580 2014 06 17 01 45 210   1.0   2.0  0.1  MM   MM  MM     MM    MM  20.4    MM  15.0   MM     MM
44041  37.204  -76.778 2014 06 17 02 00 150   2.0   3.0  0.1  MM   MM  MM     MM    MM  26.3  27.4    MM   MM     MM
44042  38.033  -76.336 2014 06 17 02 00 190   4.0   5.0  0.1  MM   MM  MM 1018.8  +1.2  25.6  25.9    MM   MM     MM
44043  39.152  -76.391 2014 06 17 02 00 210   5.0   6.0  0.1  MM   MM  MM 1018.9  +0.7  25.9  24.4    MM   MM     MM
44056  36.200  -75.714 2014 06 17 01 53  MM    MM    MM  0.5   9  4.4  90     MM    MM    MM    MM    MM   MM     MM
44057  39.540  -76.074 2014 06 17 02 00 170   1.0   2.0   MM  MM   MM  MM 1017.9  +0.9  25.4  24.1    MM   MM     MM
44058  37.551  -76.257 2014 06 17 02 00 170   5.0   6.0  0.4   2   MM  MM 1018.6  +0.6  25.1  24.8    MM   MM     MM
44059  36.846  -76.298 2014 06 17 02 00 180   2.0   4.0   MM  MM   MM  MM 1018.5  +1.3  27.5  26.3    MM   MM     MM
44060  41.263  -72.067 2014 06 17 01 45 280   1.0   2.0   MM  MM   MM  MM     MM    MM  16.5  14.9  13.7   MM     MM
44061  38.788  -77.036 2014 06 17 02 00 200   2.0   3.0   MM  MM   MM  MM 1018.2  +1.1  26.7  24.1    MM   MM     MM
44062  38.556  -76.415 2014 06 17 02 00 180   2.0   3.0  0.2  MM   MM  MM 1019.1  +0.8  25.3  24.6    MM   MM     MM
44063  38.963  -76.448 2014 06 17 02 00 200   5.0   6.0  0.1  MM   MM  MM 1019.1  +0.7  26.5  24.0    MM   MM     MM
44064  36.974  -76.046 2014 06 17 02 00 120   4.0   5.0  0.3   3   MM  MM 1019.1  +0.8  24.7  23.9    MM   MM     MM
44066  39.584  -72.600 2014 06 17 01 50 190   3.0   4.0  0.4   9  5.2 122 1019.5  -0.0  19.0  19.3  19.0   MM     MM
44068  37.314  -77.191 2014 06 17 02 00 100   2.0   3.0   MM  MM   MM  MM     MM    MM  29.4    MM    MM   MM     MM
44093  36.872  -75.492 2014 06 17 01 51  MM    MM    MM  0.5   9  4.1 100     MM    MM    MM  23.8    MM   MM     MM
44094  40.585  -73.106 2014 06 17 01 52  MM    MM    MM  0.4  11  4.5 123     MM    MM    MM  17.5    MM   MM     MM
44095  35.750  -75.330 2014 06 17 01 47  MM    MM    MM  0.6   9  5.1  90     MM    MM    MM  23.6    MM   MM     MM
44096  37.023  -75.810 2014 06 17 01 47  MM    MM    MM  0.5  10  4.0  92     MM    MM    MM  23.6    MM   MM     MM
44097  40.969  -71.127 2014 06 17 01 38  MM    MM    MM  0.4   9  5.6 136     MM    MM    MM  15.4    MM   MM     MM
44098  42.798  -70.169 2014 06 17 01 51  MM    MM    MM  0.5   3  3.5 193     MM    MM    MM  12.8    MM   MM     MM
44099  36.915  -75.720 2014 06 17 01 58  MM    MM    MM  0.5   9  4.2 109     MM    MM    MM  23.6    MM   MM     MM
44137  42.234  -62.018 2014 06 17 01 00 350   9.0  11.0  1.7   5   MM  MM 1014.3  +2.3  12.6  12.5    MM   MM     MM
44139  44.240  -57.103 2014 06 17 01 00 330   5.0   6.0  1.5   7   MM  MM 1008.2  +0.8   9.4  10.3    MM   MM     MM
44141  42.993  -57.958 2014 06 17 01 00 310   3.0   4.0  1.3   8   MM  MM 1009.1  +1.2  11.3  13.2    MM   MM     MM
44150  42.505  -64.018 2014 06 17 01 00 340   5.0   6.0  1.1   6   MM  MM 1016.0  +1.5  14.1  13.6    MM   MM     MM
44251  46.444  -53.392 2014 06 17 01 00 200   2.0   2.0  1.8   8   MM  MM 1007.6  +0.4   6.9   7.5    MM   MM     MM
44258  44.502  -63.403 2014 06 17 01 00 350   4.0   5.0  0.7   8   MM  MM 1015.8  +2.3  12.1   9.3    MM   MM     MM
45001  48.061  -87.793 2014 06 17 01 50 200   3.0   4.0  0.4   4  3.4 135 1009.4  -0.3   7.1   2.5    MM   MM     MM
45002  45.344  -86.411 2014 06 17 01 50 200   5.0   5.0  0.3   3  3.1 182 1013.1  -0.6   6.1   3.5   6.1   MM     MM
45004  47.584  -86.587 2014 06 17 01 50 140   4.0   5.0   MM  MM   MM  MM 1010.4  -0.8   5.2   2.4    MM   MM     MM
45005  41.677  -82.398 2014 06 17 01 50 140   3.0   3.0  0.0  MM  2.9  MM 1016.6  +0.0  24.2  22.8    MM   MM     MM
45006  47.335  -89.793 2014 06 17 01 50 190   3.0   3.0  0.2  MM  3.6  MM 1009.6  -0.5   7.3   2.8    MM   MM     MM
45007  42.674  -87.026 2014 06 17 01 50 120   5.0   6.0  0.1  MM  3.7  MM 1013.6  -2.4  10.6   3.7   9.1   MM     MM
45008  44.283  -82.416 2014 06 17 01 50 120   3.0   4.0  0.1  MM  2.7  MM 1016.3  +0.9   9.3   6.5    MM   MM     MM
45012  43.619  -77.405 2014 06 17 01 50  30   2.0   2.0  0.1  MM  2.4  MM 1016.3  +1.0  12.4   3.7    MM   MM     MM
45013  43.100  -87.850 2014 06 17 02 00 170   5.0    MM   MM  MM   MM  MM 1014.0  -1.2  14.0    MM    MM   MM     MM
45022  45.403  -85.088 2014 06 17 02 10 190   3.0   3.0  0.2  MM   MM  MM     MM    MM  15.2   8.4  11.4   MM     MM
45023  47.270  -88.607 2014 06 17 02 10 150   2.0   2.0  0.2  MM   MM  MM     MM    MM  19.3   7.4  14.0   MM     MM
45024  43.977  -86.559 2014 06 17 02 10 130   3.0   3.0  0.3   3   MM  MM     MM    MM  13.0   8.1  12.3   MM     MM
45026  41.983  -86.617 2014 06 17 02 10 130   3.0   3.0  0.1  MM   MM  MM     MM    MM  22.9  18.2  17.9   MM     MM
45029  42.900  -86.272 2014 06 17 02 10 110   3.0   3.0  0.1  MM   MM  MM     MM    MM  20.7  16.1  15.2   MM     MM
45132  42.467  -81.216 2014 06 17 01 00 220   6.0   6.0  0.4   4   MM  MM 1016.0  +0.6  20.7  17.8    MM   MM     MM
45135  43.791  -76.874 2014 06 17 01 00 340   2.0   2.0  0.1   2   MM  MM 1015.7  +0.6  16.4  13.1    MM   MM     MM
45137  45.544  -81.015 2014 06 17 01 00 200   4.0   5.0  0.2   3   MM  MM 1015.6  -0.2   9.5   7.8    MM   MM     MM
45139  43.264  -79.541 2014 06 17 01 00 170   2.0   2.0  0.3   4   MM  MM 1016.8  +1.6  14.4  14.3    MM   MM     MM
45142  42.737  -79.290 2014 06 17 01 00 250   4.0   4.0  0.4   4   MM  MM 1016.1  +0.7  18.3  17.0    MM   MM     MM
45143  44.945  -80.627 2014 06 17 01 00 170   4.0   4.0  0.1   2   MM  MM 1016.3  +0.3  11.6   8.5    MM   MM     MM
45147  42.430  -82.683 2014 06 17 01 00 240   3.0   3.0  0.1  MM   MM  MM 1015.7  +0.5  24.8    MM    MM   MM     MM
45148  49.660  -94.519 2014 06 17 01 00 340   4.0   4.0  0.0  MM   MM  MM 1008.8  +0.8  18.3  13.2    MM   MM     MM
45149  43.542  -82.075 2014 06 17 01 00 140   2.0   2.0  0.1   4   MM  MM 1016.2  +0.3  19.8  15.9    MM   MM     MM
45151  44.500  -79.368 2014 06 17 01 00  80   1.0   1.0  0.1   2   MM  MM 1016.3  +0.8  20.3  18.6    MM   MM     MM
45154  46.051  -82.637 2014 06 17 01 00 210   5.0   6.0  0.2   2   MM  MM 1014.6  +0.2  17.0  15.2    MM   MM     MM
